cancer_rate,avg_annual_count,five_year_trend,rural_rural,rural_urban,trend_,trend_falling,trend_rising,trend_stable
693.5,37,2.2,1,0,0,0,0,1
679.5,436,-0.3,1,0,0,0,0,1
655,55,1.7,1,0,0,0,0,1
653.1,21,0.7,1,0,0,0,0,1
634.5,28,1.3,1,0,0,0,0,1
626.5,52,2.5,1,0,0,0,1,0
626,19,9.5,1,0,0,0,1,0
625.3,21,3,1,0,0,0,1,0
621.1,12,2,1,0,0,0,0,1
609.3,6,-999,1,0,1,0,0,0
608.6,193,0.8,1,0,0,0,1,0
606.6,295,0,1,0,0,0,0,1
605.6,26,1.9,0,1,0,0,0,1
605.3,67,0.6,0,1,0,0,0,1
602.9,58,1.1,1,0,0,0,0,1
595.8,231,0.6,1,0,0,0,0,1
593.2,25,0.9,1,0,0,0,0,1
592.3,23,2.2,1,0,0,0,0,1
592.1,34,0.6,1,0,0,0,0,1
592.1,93,0.4,1,0,0,0,0,1
591,102,6.6,0,1,0,0,1,0
588.7,68,1.4,0,1,0,0,1,0
588.6,81,0.5,0,1,0,0,0,1
586.6,112,0.6,1,0,0,0,0,1
586.4,228,-0.6,0,1,0,0,0,1
585.8,16,9.4,0,1,0,0,1,0
585,130,-3.4,1,0,0,0,0,1
583.7,93,-0.3,1,0,0,0,0,1
583.1,149,0.7,1,0,0,0,0,1
582.3,50,1.1,1,0,0,0,0,1
580.9,72,0.7,1,0,0,0,0,1
580,74,-8.9,1,0,0,0,0,1
579.7,43,0.6,0,1,0,0,0,1
579.6,52,0.9,1,0,0,0,0,1
578.8,44,1,0,1,0,0,0,1
577.4,60,0.5,1,0,0,0,0,1
576.7,268,0.4,1,0,0,0,0,1
575.8,162,0.7,0,1,0,0,1,0
574.5,53,-0.3,1,0,0,0,0,1
572.1,282,0.9,0,1,0,0,1,0
571.9,9,-0.2,1,0,0,0,0,1
569.5,245,0.7,1,0,0,0,1,0
568.8,91,2,1,0,0,0,1,0
568.8,113,0.8,1,0,0,0,1,0
568,40,1.5,1,0,0,0,0,1
567.9,182,1.1,1,0,0,0,1,0
567,197,0.7,1,0,0,0,0,1
566,450,0.4,0,1,0,0,0,1
565.6,95,2.5,1,0,0,0,1,0
565.2,292,0.1,1,0,0,0,0,1
565.1,74,1.2,1,0,0,0,0,1
564.2,165,2,1,0,0,0,0,1
564.2,49,0.3,0,1,0,0,0,1
563.2,93,0.5,0,1,0,0,0,1
563,10,-0.2,1,0,0,0,0,1
561.3,88,0.9,1,0,0,0,0,1
560.8,89,1.2,0,1,0,0,0,1
560.2,266,0.9,1,0,0,0,1,0
559.5,172,0.9,0,1,0,0,0,1
558.5,102,2.7,1,0,0,0,1,0
558,137,0.4,1,0,0,0,0,1
557.7,121,1,1,0,0,0,0,1
556.9,16,1.6,1,0,0,0,0,1
556.8,565,0.8,0,1,0,0,1,0
556.6,4,3.1,1,0,0,0,0,1
555.8,202,0.8,0,1,0,0,1,0
555.1,138,0.2,1,0,0,0,0,1
554.9,170,2.2,0,1,0,0,1,0
554.9,100,0.3,1,0,0,0,0,1
554.9,38,0.9,1,0,0,0,0,1
554.3,106,0.6,1,0,0,0,0,1
553.7,810,-0.1,0,1,0,0,0,1
553.3,197,1.5,1,0,0,0,1,0
553.1,1804,-1.2,0,1,0,1,0,0
553,160,-0.2,1,0,0,0,0,1
552.8,281,5.8,1,0,0,0,0,1
552.7,182,-2.2,1,0,0,0,0,1
552.4,31,1.5,1,0,0,0,0,1
552.4,119,0.5,0,1,0,0,0,1
551.7,82,1.6,1,0,0,0,1,0
551.7,107,0.4,1,0,0,0,0,1
551.1,67,-0.1,0,1,0,0,0,1
551.1,117,0.1,0,1,0,0,0,1
550.7,450,0.2,1,0,0,0,0,1
550.2,147,0.2,0,1,0,0,0,1
550.1,44,0.8,1,0,0,0,0,1
550,129,0.3,0,1,0,0,0,1
549.7,45,3.3,1,0,0,0,1,0
549.5,112,-0.3,1,0,0,0,0,1
549.2,69,0.8,0,1,0,0,0,1
549,1642,0.1,0,1,0,0,0,1
548.5,71,0.8,0,1,0,0,0,1
548.5,109,0.1,1,0,0,0,0,1
548.3,77,1.3,0,1,0,0,0,1
548,143,0.5,1,0,0,0,0,1
547.7,137,-1.9,1,0,0,1,0,0
547.5,120,0.7,1,0,0,0,0,1
547.5,300,0.5,0,1,0,0,0,1
547.2,920,-0.7,0,1,0,1,0,0
547.2,147,1.5,1,0,0,0,1,0
546.9,43,1.4,1,0,0,0,1,0
546.5,51,3.7,1,0,0,0,1,0
546.3,72,2.1,1,0,0,0,1,0
546.2,112,0.3,0,1,0,0,0,1
546.1,9,0.6,1,0,0,0,0,1
545.7,818,-0.2,0,1,0,0,0,1
545.7,1414,0.3,0,1,0,0,0,1
545.6,13,12.3,1,0,0,0,1,0
545.2,38,0.3,0,1,0,0,0,1
545,171,0.5,1,0,0,0,0,1
544.7,87,1.4,1,0,0,0,1,0
544.6,95,0.3,1,0,0,0,0,1
544.4,357,0.4,0,1,0,0,0,1
544.3,226,0.2,0,1,0,0,0,1
544.3,486,1.1,1,0,0,0,0,1
544.2,49,1.3,1,0,0,0,0,1
543.9,186,0.5,1,0,0,0,0,1
543.9,84,0.4,1,0,0,0,0,1
543.8,121,3.6,1,0,0,0,1,0
543.8,140,2.5,1,0,0,0,1,0
543.5,261,-0.1,1,0,0,0,0,1
542.7,17,1.3,1,0,0,0,0,1
542.6,60,0.5,0,1,0,0,0,1
542.5,42,1.6,1,0,0,0,1,0
542.3,543,0.6,1,0,0,0,1,0
542,125,1,0,1,0,0,1,0
541.8,737,-3.8,0,1,0,0,0,1
541.8,318,0,0,1,0,0,0,1
541.7,15,2.6,0,1,0,0,1,0
541.6,54,4.2,1,0,0,0,1,0
541.5,153,0.6,1,0,0,0,0,1
541.3,148,0.9,1,0,0,0,0,1
541.3,18,0.1,1,0,0,0,0,1
541.2,116,0.5,1,0,0,0,0,1
541.1,106,0.4,0,1,0,0,0,1
541,308,0.3,1,0,0,0,0,1
540.9,57,0.5,1,0,0,0,0,1
540.8,205,0.5,1,0,0,0,0,1
540.1,357,1,0,1,0,0,1,0
539.7,125,1.3,1,0,0,0,1,0
539.3,73,0.5,1,0,0,0,0,1
539.3,51,1.2,1,0,0,0,0,1
538.7,228,0.4,1,0,0,0,0,1
538.2,68,3.5,1,0,0,0,1,0
538.2,670,0,0,1,0,0,0,1
538.1,198,0,1,0,0,0,0,1
538,44,0.1,1,0,0,0,0,1
537.7,100,1.1,0,1,0,0,0,1
537.6,363,0.4,0,1,0,0,0,1
537.5,129,0.6,1,0,0,0,0,1
537.4,121,9,1,0,0,0,1,0
537.2,351,0.8,1,0,0,0,0,1
537,87,0.3,1,0,0,0,0,1
537,373,0.3,0,1,0,0,0,1
536.9,103,-999,0,1,1,0,0,0
536.7,26,1.2,0,1,0,0,0,1
536.5,829,0.4,0,1,0,0,0,1
536.1,554,0.2,1,0,0,0,0,1
535.7,39,3.2,1,0,0,0,1,0
535.6,226,0.4,1,0,0,0,0,1
535.4,526,0.5,1,0,0,0,0,1
535.4,130,0.9,1,0,0,0,1,0
535.1,402,-0.3,0,1,0,0,0,1
535.1,136,0.4,1,0,0,0,0,1
534.9,667,0.2,0,1,0,0,0,1
534.7,116,0.8,0,1,0,0,0,1
534.6,24,-1.2,1,0,0,0,0,1
534.6,219,0.3,0,1,0,0,0,1
534.6,118,-0.4,1,0,0,0,0,1
534.6,145,0.3,1,0,0,0,0,1
534.5,151,0.5,1,0,0,0,0,1
534.3,97,0.2,1,0,0,0,0,1
534.3,105,-0.2,1,0,0,0,0,1
534.2,133,1.2,1,0,0,0,0,1
534.1,315,0.8,1,0,0,0,1,0
534.1,346,0.8,0,1,0,0,1,0
534,540,0.1,0,1,0,0,0,1
533.9,69,-1.2,0,1,0,1,0,0
533.7,92,0.4,1,0,0,0,0,1
533.7,1079,-0.1,0,1,0,0,0,1
533.5,144,0.9,0,1,0,0,1,0
533.4,1120,0.4,1,0,0,0,1,0
533.4,55,0.7,1,0,0,0,1,0
533.2,303,2.6,0,1,0,0,1,0
532.9,26,6.5,1,0,0,0,0,1
532.9,60,1.2,1,0,0,0,0,1
532.7,99,0.4,0,1,0,0,0,1
532.6,120,0.4,0,1,0,0,0,1
532.4,490,0,1,0,0,0,0,1
532.3,108,0.8,0,1,0,0,1,0
532.2,370,0.6,0,1,0,0,1,0
532.1,44,0.1,1,0,0,0,0,1
532,53,0.7,0,1,0,0,0,1
531.5,300,-0.1,0,1,0,0,0,1
531.5,345,0.3,1,0,0,0,0,1
531.5,304,0.6,1,0,0,0,0,1
531.4,195,0.3,1,0,0,0,0,1
531.2,288,0.2,1,0,0,0,0,1
531.1,183,0.7,0,1,0,0,0,1
531.1,181,0.9,1,0,0,0,0,1
531,1144,0,0,1,0,0,0,1
531,466,0.5,1,0,0,0,0,1
530.8,123,0.5,1,0,0,0,0,1
530.6,50,0.6,1,0,0,0,0,1
530.6,1962,-0.2,0,1,0,0,0,1
530.5,193,0.6,1,0,0,0,0,1
530.2,341,0.2,0,1,0,0,0,1
530,194,0.6,1,0,0,0,0,1
530,195,1.3,0,1,0,0,1,0
529.8,28,-0.2,1,0,0,0,0,1
529.8,142,-0.7,1,0,0,0,0,1
529.7,442,7.7,1,0,0,0,1,0
529.4,236,0.3,1,0,0,0,0,1
529.2,170,1.7,1,0,0,0,0,1
529.2,445,-0.1,1,0,0,0,0,1
529.1,77,1.1,1,0,0,0,0,1
528.9,110,4.6,0,1,0,0,1,0
528.9,148,-0.3,0,1,0,0,0,1
528.2,98,-3.4,1,0,0,0,0,1
527.8,466,-0.1,1,0,0,0,0,1
527.7,201,0.8,1,0,0,0,0,1
527.6,76,0.6,1,0,0,0,0,1
527.4,79,0.2,1,0,0,0,0,1
527.4,1094,0.6,0,1,0,0,0,1
527.2,43,-999,1,0,1,0,0,0
527.2,15,-0.5,1,0,0,0,0,1
527.1,93,4.4,1,0,0,0,1,0
526.9,16,-0.2,1,0,0,0,0,1
526.8,11,-0.2,1,0,0,0,0,1
526.8,117,1.5,1,0,0,0,1,0
526.6,1672,0.7,0,1,0,0,0,1
526.6,244,0.7,1,0,0,0,1,0
526.5,134,-0.6,0,1,0,0,0,1
526.5,80,0.6,1,0,0,0,0,1
526.4,173,0,1,0,0,0,0,1
526.4,62,0.9,1,0,0,0,0,1
526,47,1.2,1,0,0,0,0,1
525.9,13,1.7,1,0,0,0,0,1
525.7,79,0.9,1,0,0,0,1,0
525.7,448,0.3,0,1,0,0,0,1
525.7,33,0.1,1,0,0,0,0,1
525.7,40,1.1,1,0,0,0,0,1
525.4,77,1.3,0,1,0,0,1,0
525.1,3397,-0.3,0,1,0,0,0,1
525.1,188,-0.1,1,0,0,0,0,1
525,353,-0.1,1,0,0,0,0,1
524.7,69,0.3,1,0,0,0,0,1
524.6,60,1.2,0,1,0,0,0,1
524.6,258,0.1,1,0,0,0,0,1
524.5,93,0,1,0,0,0,0,1
524.4,399,0.1,1,0,0,0,0,1
524.3,4942,-0.4,0,1,0,1,0,0
523.8,127,0.2,1,0,0,0,0,1
523.7,148,0.8,0,1,0,0,0,1
523.5,440,0.5,1,0,0,0,0,1
523.4,262,0.8,1,0,0,0,0,1
523.3,108,-0.3,1,0,0,0,0,1
523.2,296,-1.4,1,0,0,1,0,0
523.2,100,0,1,0,0,0,0,1
522.8,61,0.7,1,0,0,0,0,1
522.8,111,0,1,0,0,0,0,1
522.7,70,6.7,1,0,0,0,0,1
522.6,106,0.1,0,1,0,0,0,1
522.5,206,0.7,1,0,0,0,0,1
522.3,168,0.5,0,1,0,0,0,1
522.3,78,0.3,1,0,0,0,0,1
522.2,751,0.8,0,1,0,0,0,1
522.2,493,1.8,0,1,0,0,1,0
522.2,241,0.3,1,0,0,0,0,1
522.2,104,0.1,1,0,0,0,0,1
522,1010,0.9,0,1,0,0,0,1
521.9,525,0.6,1,0,0,0,0,1
521.7,80,1.2,1,0,0,0,0,1
521.5,9,3.9,1,0,0,0,0,1
521.2,191,0.9,1,0,0,0,0,1
520.9,468,1,1,0,0,0,0,1
520.7,230,0.6,1,0,0,0,1,0
520.5,82,0.1,1,0,0,0,0,1
520.4,346,0.7,0,1,0,0,1,0
520.4,73,0.4,1,0,0,0,0,1
520.4,91,0.6,1,0,0,0,0,1
520.3,251,0.6,0,1,0,0,0,1
520.2,223,0.4,1,0,0,0,0,1
520,4499,0.4,0,1,0,0,0,1
519.7,434,0,1,0,0,0,0,1
519.6,75,0.2,1,0,0,0,0,1
519.6,269,2.4,1,0,0,0,1,0
519.5,622,0.3,0,1,0,0,0,1
519.3,1633,0.4,0,1,0,0,0,1
519,414,-0.7,1,0,0,0,0,1
519,193,0.4,1,0,0,0,0,1
518.9,269,-0.9,0,1,0,0,0,1
518.8,116,0.6,1,0,0,0,0,1
518.6,169,-6.1,1,0,0,0,0,1
518.5,71,1.3,1,0,0,0,0,1
518.5,295,0.4,1,0,0,0,0,1
518.5,74,0.2,1,0,0,0,0,1
518.5,838,0.2,0,1,0,0,0,1
518.4,33,0.4,1,0,0,0,0,1
518.3,191,0,1,0,0,0,0,1
518.3,8,-0.7,1,0,0,0,0,1
518.3,248,0,0,1,0,0,0,1
518.3,526,0,0,1,0,0,0,1
518.1,244,0,1,0,0,0,0,1
518.1,44,-0.4,1,0,0,0,0,1
