OBJECTID,GEOID,CATEGORY,HAZ_IDX,STUSAB,STATE,STATE_NAME,COUNTY,COUNTY_NAME,TRACT,VERSION,Shape__Area,Shape__Length
1,33011002200,census tract,64,NH,33,New Hampshire,011,Hillsborough County,002200,AFFHT0006,3791988.96875,10727.3835614323
2,33011002300,census tract,60,NH,33,New Hampshire,011,Hillsborough County,002300,AFFHT0006,3940624.84765625,8176.96201514088
3,33011002400,census tract,55,NH,33,New Hampshire,011,Hillsborough County,002400,AFFHT0006,8079758.87109375,13656.8725359583
4,33011002500,census tract,53,NH,33,New Hampshire,011,Hillsborough County,002500,AFFHT0006,8210938.66796875,12502.0225714956
5,33011002600,census tract,57,NH,33,New Hampshire,011,Hillsborough County,002600,AFFHT0006,24250995.4335938,40602.5958421259
6,33011002701,census tract,89,NH,33,New Hampshire,011,Hillsborough County,002701,AFFHT0006,69147931.5234375,41864.8354347512
7,42011011903,census tract,59,PA,42,Pennsylvania,011,Berks County,011903,AFFHT0006,48614352.359375,33203.2698742887
8,42011011904,census tract,48,PA,42,Pennsylvania,011,Berks County,011904,AFFHT0006,33339547.1015625,35573.7685362168
9,42011012001,census tract,52,PA,42,Pennsylvania,011,Berks County,012001,AFFHT0006,14765250.3671875,17876.4676751362
10,42011012002,census tract,47,PA,42,Pennsylvania,011,Berks County,012002,AFFHT0006,17936624.84375,19535.7461454356
11,42011012101,census tract,41,PA,42,Pennsylvania,011,Berks County,012101,AFFHT0006,3877780.98046875,9242.82009419441
12,01005950700,census tract,7,AL,01,Alabama,005,Barbour County,950700,AFFHT0006,177273048.972656,73815.6205563564
13,01005950800,census tract,7,AL,01,Alabama,005,Barbour County,950800,AFFHT0006,20897212.8320313,20801.4304977812
14,01005950900,census tract,8,AL,01,Alabama,005,Barbour County,950900,AFFHT0006,34125881.8320313,33994.9258052466
15,55005000100,census tract,97,WI,55,Wisconsin,005,Barron County,000100,AFFHT0006,736054379.402344,144041.837790883
16,55005000200,census tract,97,WI,55,Wisconsin,005,Barron County,000200,AFFHT0006,400014362.96875,94184.7771667559
17,55005000300,census tract,97,WI,55,Wisconsin,005,Barron County,000300,AFFHT0006,534674500.792969,116011.667599263
18,55005000400,census tract,95,WI,55,Wisconsin,005,Barron County,000400,AFFHT0006,442271065.03125,101969.962756288
19,06037267403,census tract,6,CA,06,California,037,Los Angeles County,267403,AFFHT0006,356541.37890625,2880.07497042828
20,06037267404,census tract,7,CA,06,California,037,Los Angeles County,267404,AFFHT0006,415382.66015625,2715.62957007977
21,06037267501,census tract,7,CA,06,California,037,Los Angeles County,267501,AFFHT0006,662653.60546875,3339.19700636545
22,06037267502,census tract,7,CA,06,California,037,Los Angeles County,267502,AFFHT0006,635400.421875,3286.96716921514
23,06037267600,census tract,3,CA,06,California,037,Los Angeles County,267600,AFFHT0006,1851312.47265625,5599.85139514348
