Rank,trial_number,timestamp,train_MSE,train_RMSE,train_R2,validation_MSE,validation_RMSE,validation_R2,hidden_channels,lr,dropout,weight_decay,num_layers,aggr,activation,batch_norm,residual,accumulation_steps,state
1,69,4/29/2025 20:04,2075.600342,45.55875703,0.384859979,2596.872803,50.95952122,0.237383485,192,0.004320339,0.171785485,6.18E-05,3,mean,relu,FALSE,TRUE,8,1
2,240,4/29/2025 20:04,2046.894653,45.24261988,0.39336741,2607.960205,51.06819172,0.234127462,192,0.003490029,0.171714821,6.53E-05,3,mean,relu,FALSE,TRUE,6,1
3,267,4/29/2025 20:04,2073.64502,45.53729262,0.385439456,2617.24707,51.15903703,0.231400251,192,0.004425046,0.161420592,7.02E-05,3,mean,relu,FALSE,TRUE,8,1
4,167,4/29/2025 20:04,2075.708252,45.55994131,0.384827971,2624.503418,51.22990746,0.229269326,192,0.003569939,0.187914903,1.86E-05,3,mean,relu,FALSE,TRUE,6,1
5,114,4/29/2025 20:04,2082.114258,45.6301902,0.382929444,2629.239746,51.27611282,0.227878392,192,0.003464015,0.200605931,4.98E-05,3,mean,relu,FALSE,TRUE,6,1
6,58,4/29/2025 20:04,2101.433105,45.84139075,0.377204001,2636.717041,51.34897313,0.225682557,192,0.004054962,0.164227345,5.86E-05,3,mean,relu,FALSE,TRUE,8,1
7,87,4/29/2025 20:04,2078.413818,45.58962402,0.38402611,2638.991455,51.37111499,0.225014627,192,0.003764615,0.16500843,8.11E-05,3,mean,relu,FALSE,TRUE,8,1
8,182,4/29/2025 20:04,2063.985596,45.43110824,0.388302147,2639.19165,51.37306347,0.224955857,192,0.003754324,0.183762404,5.79E-05,3,mean,relu,FALSE,TRUE,6,1
9,44,4/29/2025 20:04,2092.700928,45.74604822,0.379791915,2639.31665,51.37428005,0.22491914,192,0.003630428,0.17565049,5.51E-05,3,mean,relu,FALSE,TRUE,6,1
10,228,4/29/2025 20:04,2026.179565,45.01310437,0.399506629,2645.199707,51.431505,0.2231915,192,0.003689487,0.21401933,2.16E-05,4,mean,relu,FALSE,TRUE,6,1
11,149,4/29/2025 20:04,2053.067139,45.31078391,0.391538024,2646.870117,51.44774161,0.222700953,192,0.003509376,0.181103667,5.71E-05,3,mean,relu,FALSE,TRUE,8,1
12,168,4/29/2025 20:04,2068.426758,45.47995996,0.386985958,2647.628906,51.45511545,0.222478151,192,0.003539626,0.168802619,1.42E-05,3,mean,relu,FALSE,TRUE,6,1
13,59,4/29/2025 20:04,2094.244873,45.76292029,0.379334331,2648.043945,51.45914832,0.2223562,192,0.004368128,0.150047822,6.13E-05,3,mean,relu,FALSE,TRUE,8,1
14,95,4/29/2025 20:04,2164.21875,46.52116454,0.358596325,2651.59082,51.4935998,0.221314609,192,0.003065266,0.179068649,7.79E-05,3,mean,relu,FALSE,TRUE,8,1
15,189,4/29/2025 20:04,2126.482178,46.11379596,0.369780242,2651.749512,51.49514066,0.221267998,192,0.004191054,0.169011385,6.46E-05,3,mean,relu,FALSE,TRUE,8,1
16,266,4/29/2025 20:04,2114.416748,45.98278752,0.373356044,2651.78125,51.49544883,0.22125864,192,0.00395707,0.16147561,5.15E-05,3,mean,relu,FALSE,TRUE,8,1
17,35,4/29/2025 20:04,2106.198486,45.89333815,0.375791609,2652.968262,51.50697294,0.220910132,160,0.003133616,0.167603046,7.01E-05,3,mean,relu,FALSE,TRUE,6,1
18,7,4/29/2025 20:04,2132.214111,46.17590401,0.36808145,2659.096924,51.56643214,0.21911037,192,0.003208448,0.153872474,5.63E-05,3,mean,relu,FALSE,TRUE,8,1
19,102,4/29/2025 20:04,2110.875732,45.94426768,0.374405444,2659.177734,51.56721569,0.219086587,192,0.00352058,0.17324645,5.02E-05,3,mean,relu,FALSE,TRUE,6,1
20,218,4/29/2025 20:04,2101.573486,45.84292188,0.377162337,2659.880615,51.57403043,0.218880177,192,0.003407014,0.197081818,5.71E-05,3,mean,relu,FALSE,TRUE,6,1
21,71,4/29/2025 20:04,2098.12915,45.80533976,0.378183126,2663.703613,51.61108033,0.217757523,192,0.004538271,0.169934556,6.15E-05,3,mean,relu,FALSE,TRUE,8,1
22,231,4/29/2025 20:04,2091.64502,45.73450579,0.38010484,2664.088379,51.61480775,0.217644513,192,0.003652735,0.2124268,2.84E-05,4,mean,relu,FALSE,TRUE,6,1
23,3,4/29/2025 20:04,2103.55835,45.86456529,0.376574099,2664.352783,51.61736901,0.217566848,192,0.003709741,0.214690232,8.20E-05,3,mean,relu,FALSE,TRUE,6,1
24,247,4/29/2025 20:04,2161.92627,46.4965189,0.359275818,2665.088135,51.62449162,0.2173509,192,0.003656898,0.167275728,2.39E-05,3,mean,relu,FALSE,TRUE,6,1
25,43,4/29/2025 20:04,2155.563232,46.4280436,0.36116159,2666.223877,51.63549048,0.217017353,192,0.00367767,0.173853311,5.78E-05,3,mean,relu,FALSE,TRUE,6,1
26,17,4/29/2025 20:04,2069.322998,45.48981202,0.386720359,2668.595459,51.65845002,0.216320872,192,0.003538864,0.186218877,4.25E-05,4,mean,relu,FALSE,TRUE,6,1
27,82,4/29/2025 20:04,2070.06543,45.49797171,0.386500299,2669.087402,51.6632113,0.21617645,192,0.003935474,0.173202337,5.21E-05,3,mean,relu,FALSE,TRUE,6,1
28,248,4/29/2025 20:04,2064.315674,45.43474082,0.388204336,2670.258789,51.67454682,0.215832472,192,0.00368903,0.166506578,5.82E-05,5,mean,relu,FALSE,TRUE,6,1
29,1,4/29/2025 20:04,2202.126953,46.92682552,0.347361624,2672.014893,51.69153599,0.215316713,128,0.002786207,0.191313344,2.44E-05,4,mean,relu,FALSE,TRUE,6,1
30,263,4/29/2025 20:04,2076.245361,45.56583546,0.384668827,2673.529053,51.70618002,0.214872062,192,0.003591387,0.153633931,5.72E-05,3,mean,relu,FALSE,TRUE,6,1
31,80,4/29/2025 20:04,2045.150635,45.2233417,0.393884242,2673.73291,51.70815129,0.214812219,192,0.004162627,0.212387061,7.45E-05,4,mean,relu,FALSE,TRUE,8,1
32,4,4/29/2025 20:04,2051.709961,45.29580511,0.391940296,2675.301514,51.72331692,0.214351594,160,0.003874253,0.207497754,7.54E-05,4,mean,relu,FALSE,TRUE,8,1
33,97,4/29/2025 20:04,2145.920166,46.32407761,0.364019454,2677.057617,51.74029008,0.213835835,192,0.003000624,0.180863181,7.32E-05,3,mean,relu,FALSE,TRUE,8,1
34,147,4/29/2025 20:04,2142.273926,46.2847051,0.365100086,2677.874268,51.7481813,0.213595986,192,0.003442645,0.20172236,6.19E-05,3,mean,relu,FALSE,TRUE,8,1
35,125,4/29/2025 20:04,2112.202881,45.95870843,0.374012172,2678.325684,51.75254277,0.213463426,192,0.004430321,0.206588365,8.49E-05,3,mean,relu,FALSE,TRUE,8,1
36,292,4/29/2025 20:04,2049.377441,45.27005016,0.392631531,2681.404053,51.78227547,0.212559462,192,0.003343344,0.162086468,1.97E-05,3,mean,relu,FALSE,TRUE,8,1
37,163,4/29/2025 20:04,2172.465332,46.60971285,0.356152296,2682.929199,51.79699991,0.212111592,128,0.005482413,0.173485053,2.33E-05,4,mean,relu,FALSE,TRUE,6,1
38,62,4/29/2025 20:04,2093.630371,45.75620582,0.379516482,2684.854004,51.81557685,0.211546302,192,0.004373287,0.163739022,7.66E-05,3,mean,relu,FALSE,TRUE,8,1
39,227,4/29/2025 20:04,2026.94751,45.0216338,0.399279058,2687.10791,51.8373216,0.210884392,192,0.004355584,0.17431082,5.74E-05,3,mean,relu,FALSE,TRUE,8,1
40,260,4/29/2025 20:04,2210.06958,47.01137713,0.345007658,2687.524658,51.84134121,0.210762024,192,0.004604611,0.217515112,4.79E-05,3,mean,relu,FALSE,TRUE,6,1
41,278,4/29/2025 20:04,2050.953125,45.28744997,0.392164588,2688.506348,51.85080855,0.210473716,192,0.003972433,0.15617709,7.06E-05,3,mean,relu,FALSE,TRUE,8,1
42,89,4/29/2025 20:04,2024.120483,44.99022653,0.400116861,2688.676514,51.85244945,0.210423708,192,0.005148303,0.168841266,8.99E-05,4,mean,relu,FALSE,TRUE,8,1
43,241,4/29/2025 20:04,2150.52002,46.37369965,0.362656176,2693.566895,51.89958472,0.208987594,192,0.003451174,0.171587259,1.94E-05,3,mean,relu,FALSE,TRUE,6,1
44,198,4/29/2025 20:04,2079.966309,45.60664764,0.383566022,2695.18042,51.91512708,0.208513796,192,0.003641319,0.17095456,7.13E-05,3,mean,relu,FALSE,TRUE,8,1
45,61,4/29/2025 20:04,2048.652344,45.26204087,0.392846465,2699.826416,51.95985389,0.207149446,192,0.004232116,0.151923646,5.89E-05,3,mean,relu,FALSE,TRUE,8,1
46,108,4/29/2025 20:04,2107.463379,45.90711687,0.375416815,2700.151855,51.96298544,0.20705384,192,0.004208287,0.156594478,6.27E-05,3,mean,relu,FALSE,TRUE,8,1
47,18,4/29/2025 20:04,2069.509766,45.49186483,0.386664987,2700.720459,51.96845638,0.206886888,192,0.002969304,0.163520507,6.14E-05,3,mean,relu,FALSE,TRUE,8,1
48,113,4/29/2025 20:04,2133.010986,46.18453189,0.367845297,2701.019531,51.97133375,0.206798971,192,0.003713782,0.174980139,6.11E-05,3,mean,relu,FALSE,TRUE,6,1
49,178,4/29/2025 20:04,2072.566895,45.52545326,0.385758936,2704.455566,52.00438026,0.205789983,192,0.003669823,0.152846714,5.28E-05,3,mean,relu,FALSE,TRUE,8,1
50,72,4/29/2025 20:04,2055.070068,45.33288065,0.390944481,2705.570068,52.01509462,0.205462694,192,0.004931576,0.170749214,6.12E-05,3,mean,relu,FALSE,TRUE,8,1
51,48,4/29/2025 20:04,2176.80249,46.65621599,0.354866982,2706.377197,52.02285264,0.205225646,192,0.003244717,0.16590584,7.30E-05,3,mean,relu,FALSE,TRUE,6,1
52,73,4/29/2025 20:04,2062.763184,45.41765278,0.388664484,2707.642578,52.035013,0.204854071,192,0.004545526,0.160946101,6.68E-05,3,mean,relu,FALSE,TRUE,8,1
53,64,4/29/2025 20:04,2116.096924,46.00105351,0.372858107,2708.349854,52.04180871,0.204646349,192,0.004489666,0.164446211,6.11E-05,3,mean,relu,FALSE,TRUE,8,1
54,88,4/29/2025 20:04,2005.533081,44.78317855,0.405625582,2709.184326,52.04982542,0.204401314,192,0.00375013,0.161013834,8.69E-05,3,mean,relu,FALSE,TRUE,8,1
55,250,4/29/2025 20:04,2066.302246,45.45659739,0.387615621,2709.270508,52.05065329,0.204375982,192,0.003624895,0.16780274,2.29E-05,3,mean,relu,FALSE,TRUE,4,1
56,90,4/29/2025 20:04,2026.771362,45.0196775,0.399331272,2709.433594,52.05221987,0.20432806,192,0.004420691,0.157588189,8.14E-05,3,mean,relu,FALSE,TRUE,8,1
57,65,4/29/2025 20:04,2052.662598,45.30631962,0.391657948,2715.485596,52.11032139,0.202550828,192,0.003989464,0.150193231,9.16E-05,3,mean,relu,FALSE,TRUE,8,1
58,268,4/29/2025 20:04,2109.088135,45.92480958,0.374935269,2716.287598,52.11801606,0.202315331,192,0.004505326,0.158614847,7.02E-05,3,mean,relu,FALSE,TRUE,8,1
59,19,4/29/2025 20:04,2208.466309,46.99432209,0.345482826,2717.496826,52.12961563,0.201960206,128,0.002510828,0.212372097,2.70E-05,4,mean,relu,FALSE,TRUE,4,1
60,67,4/29/2025 20:04,2080.385986,45.61124846,0.383441627,2718.167969,52.13605249,0.201763034,192,0.004140019,0.157813762,6.62E-05,3,mean,relu,FALSE,TRUE,8,1
61,47,4/29/2025 20:04,2186.010986,46.7547964,0.352137804,2718.345215,52.1377523,0.201711059,192,0.004152084,0.177686016,6.52E-05,3,mean,relu,FALSE,TRUE,8,1
62,141,4/29/2025 20:04,2135.007324,46.20613946,0.367253661,2719.21875,52.14612881,0.201454461,192,0.003899569,0.176469942,2.69E-05,3,mean,relu,FALSE,TRUE,6,1
63,75,4/29/2025 20:04,2014.490601,44.883077,0.40297085,2723.176514,52.18406379,0.20029223,192,0.004489586,0.156353373,8.17E-05,3,mean,relu,FALSE,TRUE,8,1
64,193,4/29/2025 20:04,2107.350342,45.9058857,0.375450313,2731.505371,52.26380556,0.197846353,192,0.003998142,0.175237078,5.50E-05,3,mean,relu,FALSE,TRUE,8,1
65,46,4/29/2025 20:04,2098.855957,45.81327272,0.377967715,2733.516113,52.28303849,0.19725585,192,0.003868007,0.159353107,8.54E-05,3,mean,relu,FALSE,TRUE,6,1
66,24,4/29/2025 20:04,2164.703125,46.52637021,0.358452797,2734.865723,52.29594365,0.196859479,192,0.003153632,0.184798192,3.22E-05,5,mean,relu,FALSE,TRUE,6,1
67,26,4/29/2025 20:04,2144.53125,46.30908388,0.364431083,2741.29834,52.3574096,0.194970429,192,0.003445407,0.161500307,1.67E-05,3,mean,relu,FALSE,TRUE,6,1
68,130,4/29/2025 20:04,2036.458008,45.12713162,0.396460474,2741.907959,52.36323098,0.194791436,192,0.00412563,0.154667178,4.88E-05,3,mean,relu,FALSE,TRUE,8,1
69,45,4/29/2025 20:04,2167.967773,46.56144084,0.357485294,2745.293945,52.39555272,0.193797052,192,0.00373139,0.174394522,5.79E-05,3,mean,relu,FALSE,TRUE,8,1
70,20,4/29/2025 20:04,2138.532959,46.24427488,0.366208792,2746.122803,52.40346174,0.193553627,192,0.004069632,0.232083687,7.93E-05,3,mean,relu,FALSE,TRUE,8,1
71,10,4/29/2025 20:04,2056.852051,45.35253081,0.390416384,2748.827393,52.42926084,0.192759395,192,0.003249153,0.152865547,4.64E-05,3,mean,relu,FALSE,TRUE,8,1
72,110,4/29/2025 20:04,2091.61377,45.73416414,0.380114138,2752.993896,52.46898033,0.19153589,192,0.003561482,0.158838563,6.75E-05,3,mean,relu,FALSE,TRUE,6,1
73,22,4/29/2025 20:04,2133.652832,46.19148008,0.367655098,2756.654541,52.50385263,0.190460861,192,0.003487707,0.182123366,4.14E-05,4,mean,relu,FALSE,TRUE,6,1
74,23,4/29/2025 20:04,2075.684326,45.55967873,0.384835064,2759.500244,52.53094559,0.189625144,192,0.00465672,0.162986741,5.60E-05,3,mean,relu,FALSE,TRUE,6,1
75,132,4/29/2025 20:04,2220.382568,47.12093556,0.341951191,2762.381104,52.55835903,0.188779116,192,0.003696671,0.186361537,5.30E-05,5,mean,relu,FALSE,TRUE,6,1
76,21,4/29/2025 20:04,2149.410889,46.36173949,0.362984955,2763.242676,52.56655473,0.188526094,192,0.00356336,0.190535645,4.50E-05,4,mean,relu,FALSE,TRUE,6,1
77,13,4/29/2025 20:04,2114.095215,45.97929115,0.373451352,2763.983887,52.57360447,0.188308477,192,0.002502646,0.17429222,3.60E-05,5,mean,relu,FALSE,TRUE,6,1
78,191,4/29/2025 20:04,2237.132813,47.29833837,0.336987019,2770.599365,52.63648321,0.186365724,192,0.004304917,0.171519911,6.08E-05,3,mean,relu,FALSE,TRUE,8,2
79,211,4/29/2025 20:04,2260.422363,47.54389933,0.330084741,2772.38916,52.65348194,0.18584013,192,0.004272245,0.170709941,7.67E-05,4,mean,relu,FALSE,TRUE,8,2
80,25,4/29/2025 20:04,2120.254395,46.0462202,0.3716259,2773.790527,52.66678771,0.18542856,192,0.003760418,0.197804696,6.35E-05,4,mean,relu,FALSE,TRUE,6,1
81,139,4/29/2025 20:04,2283.196777,47.78280839,0.323335111,2774.319092,52.67180547,0.185273349,192,0.004333683,0.212492861,4.56E-05,3,mean,relu,FALSE,TRUE,6,2
82,233,4/29/2025 20:04,2225.282959,47.17290492,0.340498865,2774.588623,52.674364,0.185194135,192,0.003680061,0.22009587,2.61E-05,4,mean,relu,FALSE,TRUE,6,1
83,177,4/29/2025 20:04,2309.707764,48.05941909,0.315478146,2775.372559,52.68180482,0.184964001,192,0.0034616,0.169872934,1.12E-05,3,mean,relu,FALSE,TRUE,4,2
84,8,4/29/2025 20:04,2252.867432,47.46438066,0.332323849,2777.534912,52.70232359,0.184328914,128,0.002822591,0.15288251,1.18E-05,3,mean,relu,FALSE,TRUE,8,1
85,2,4/29/2025 20:04,2244.901855,47.38039527,0.334684491,2779.03125,52.71651781,0.183889568,160,0.005160807,0.202842867,9.19E-05,5,mean,relu,FALSE,TRUE,4,1
86,27,4/29/2025 20:04,2094.64209,45.76726002,0.379216611,2781.259033,52.73764342,0.183235347,192,0.003949597,0.199408499,8.21E-05,3,mean,relu,FALSE,TRUE,6,1
87,287,4/29/2025 20:04,2213.770996,47.0507279,0.343910694,2787.960205,52.80113829,0.181267381,192,0.004282706,0.167401449,2.31E-05,3,mean,relu,FALSE,TRUE,8,2
88,52,4/29/2025 20:04,2240.62207,47.33520963,0.335952938,2793.749512,52.85593166,0.179567277,192,0.003694295,0.171026094,5.32E-05,3,mean,relu,FALSE,TRUE,6,1
89,11,4/29/2025 20:04,2178.646484,46.67597331,0.354320407,2796.890381,52.88563492,0.178644896,192,0.003306538,0.221790616,5.03E-05,3,mean,relu,FALSE,TRUE,6,1
90,249,4/29/2025 20:04,2139.038818,46.24974398,0.366058886,2798.047363,52.89657232,0.178305149,192,0.003650408,0.170378695,6.85E-05,3,mean,relu,FALSE,TRUE,6,1
91,9,4/29/2025 20:04,2127.648926,46.12644497,0.369434476,2801.123779,52.92564387,0.177401721,192,0.004269428,0.232296842,1.22E-05,6,mean,relu,FALSE,TRUE,6,1
92,204,4/29/2025 20:04,2363.23584,48.61312415,0.299614191,2813.218506,53.03978229,0.173849881,192,0.003862324,0.18477866,8.15E-05,3,mean,relu,FALSE,TRUE,6,2
93,12,4/29/2025 20:04,2239.406982,47.32237296,0.336313009,2814.945801,53.05606281,0.173342586,192,0.003292424,0.218972371,5.39E-05,3,mean,relu,FALSE,TRUE,8,1
94,271,4/29/2025 20:04,2369.655762,48.67911012,0.297711551,2817.440674,53.07956927,0.172609925,192,0.004412372,0.163415539,8.50E-05,3,mean,relu,FALSE,TRUE,8,2
95,148,4/29/2025 20:04,2301.017822,47.96892559,0.318053603,2821.070801,53.11375341,0.171543896,192,0.004038084,0.167595158,7.42E-05,5,mean,relu,FALSE,TRUE,6,2
96,124,4/29/2025 20:04,2470.238525,49.7014942,0.267902136,2821.126709,53.11427971,0.171527505,192,0.003607385,0.173843197,5.98E-05,3,mean,relu,FALSE,TRUE,6,2
97,183,4/29/2025 20:04,2449.179688,49.48918758,0.274143279,2823.857666,53.1399818,0.170725465,192,0.003831133,0.18302725,5.67E-05,3,mean,relu,FALSE,TRUE,6,2
98,0,4/29/2025 20:04,2255.455322,47.49163423,0.331556857,2826.869385,53.16831185,0.169841051,160,0.004185584,0.191555247,1.37E-05,4,mean,relu,FALSE,TRUE,4,1
99,229,4/29/2025 20:04,2426.891113,49.26348661,0.280748844,2829.365234,53.19177788,0.169108093,192,0.003709718,0.162420895,2.44E-05,3,mean,relu,FALSE,TRUE,6,2
100,277,4/29/2025 20:04,2457.741699,49.57561597,0.27160579,2831.073975,53.20783753,0.168606281,192,0.003012317,0.166958128,6.36E-05,3,mean,relu,FALSE,TRUE,8,2
