county,state,fips,cancer_rate,avg_annual_count,five_year_trend,has_cancer_data,rural_rural,rural_urban,trend_,trend_falling,trend_rising,trend_stable
traverse county,minnesota,27155,693.5,37,2.2,1,True,False,False,False,False,True
polk county,texas,48373,679.5,436,-0.3,1,True,False,False,False,False,True
galax city,virginia,51640,655,55,1.7,1,True,False,False,False,False,True
greeley county,nebraska,31077,653.1,21,0.7,1,True,False,False,False,False,True
dewey county,south dakota,46041,634.5,28,1.3,1,True,False,False,False,False,True
quitman county,mississippi,28119,626.5,52,2.5,1,True,False,False,False,True,False
wheatland county,montana,30107,626,19,9.5,1,True,False,False,False,True,False
faulk county,south dakota,46049,625.3,21,3,1,True,False,False,False,True,False
stonewall county,texas,48433,621.1,12,2,1,True,False,False,False,False,True
logan county,nebraska,31113,609.3,6,-999,1,True,False,True,False,False,False
lincoln county,kentucky,21137,608.6,193,0.8,1,True,False,False,False,True,False
floyd county,kentucky,21071,606.6,295,0,1,True,False,False,False,False,True
chattahoochee county,georgia,13053,605.6,26,1.9,1,False,True,False,False,False,True
bracken county,kentucky,21023,605.3,67,0.6,1,False,True,False,False,False,True
rosebud county,montana,30087,602.9,58,1.1,1,True,False,False,False,False,True
knox county,kentucky,21121,595.8,231,0.6,1,True,False,False,False,False,True
hitchcock county,nebraska,31087,593.2,25,0.9,1,True,False,False,False,False,True
aurora county,south dakota,46003,592.3,23,2.2,1,True,False,False,False,False,True
owsley county,kentucky,21189,592.1,34,0.6,1,True,False,False,False,False,True
powell county,kentucky,21197,592.1,93,0.4,1,True,False,False,False,False,True
menard county,illinois,17129,591,102,6.6,1,False,True,False,False,True,False
trousdale county,tennessee,47169,588.7,68,1.4,1,False,True,False,False,True,False
livingston county,kentucky,21139,588.6,81,0.5,1,False,True,False,False,False,True
estill county,kentucky,21065,586.6,112,0.6,1,True,False,False,False,False,True
iberville parish,louisiana,22047,586.4,228,-0.6,1,False,True,False,False,False,True
hudspeth county,texas,48229,585.8,16,9.4,1,False,True,False,False,True,False
lawrence county,arkansas,05075,585,130,-3.4,1,True,False,False,False,False,True
bath county,kentucky,21011,583.7,93,-0.3,1,True,False,False,False,False,True
