row_index,fips
0,27155
1,48373
2,51640
3,31077
4,46041
5,28119
6,30107
7,46049
8,48433
9,31113
10,21137
11,21071
12,13053
13,21023
14,30087
15,21121
16,31087
17,46003
18,21189
19,21197
20,17129
21,47169
22,21139
23,21065
24,22047
25,48229
26,05075
27,21011
28,21001
29,27081
30,38079
31,19147
32,22023
33,21057
34,46087
35,54073
36,54045
37,21081
38,21237
39,13227
40,30037
41,21235
42,48063
43,19029
44,27087
45,17173
46,21085
47,39087
48,51057
49,17121
50,21053
51,23021
52,17003
53,21031
54,30079
55,29181
56,51115
57,17137
58,05111
59,01041
60,54041
61,17149
62,46071
63,17037
64,31009
65,21043
66,21097
67,37007
68,19035
69,17171
70,17025
71,17115
72,39131
73,12053
74,54043
75,23029
76,21217
77,27125
78,21127
79,21171
80,19007
81,54015
82,21103
83,21195
84,51670
85,46077
86,21215
87,51580
88,17125
89,13289
90,36063
91,21149
92,21069
93,01085
94,42093
95,21051
96,21203
97,36073
98,34009
99,28141
100,17153
101,27107
102,29149
103,19085
104,46017
105,36075
106,17167
107,48137
108,21039
109,21167
110,21087
111,17061
112,17117
113,51730
114,39167
115,27167
116,21173
117,21187
118,05043
119,28027
120,17021
121,31071
122,50013
123,48119
124,22097
125,13231
126,12089
127,17063
128,48011
129,28053
130,21027
131,13105
132,46111
133,51135
134,51007
135,36023
136,19135
137,17107
138,27027
139,28031
140,19089
141,05147
142,13311
143,46027
144,21093
145,21193
146,30065
147,30043
148,21019
149,21099
150,51103
151,37111
152,29139
153,22113
154,13159
155,48317
156,37133
157,17183
158,51678
159,47117
160,24001
161,21155
162,21185
163,21207
164,36045
165,40117
166,55078
167,13187
168,54103
169,36097
170,21231
171,51690
172,37173
173,05121
174,13137
175,13103
176,21029
177,13273
178,29133
179,46099
180,22093
181,42107
182,19053
183,54099
184,31061
185,21223
186,21191
187,17131
188,54033
189,13221
190,22001
191,31011
192,21077
193,21179
194,19045
195,21009
196,21095
197,17055
198,13177
199,27057
200,12035
201,05069
202,19171
203,27051
204,34015
205,13261
206,22099
207,29127
208,13169
209,48023
210,47085
211,48471
212,21035
213,55067
214,22045
215,29093
216,19121
217,21017
218,27023
219,21199
220,54053
221,21169
222,38055
223,23019
224,13301
225,46073
226,48343
227,46055
228,08057
229,05021
230,12017
231,48241
232,51630
233,19137
234,54059
235,38057
236,51530
237,08017
238,19069
239,13013
240,31173
241,31169
242,51183
243,12083
244,21141
245,36057
246,17079
247,13173
248,17057
249,29123
250,36035
251,34029
252,19041
253,13189
254,29187
255,27005
256,21147
257,36121
258,22013
259,48307
260,54087
261,40069
262,28051
263,39053
264,54005
265,37103
266,37191
267,21145
268,19179
269,17189
270,21117
271,39141
272,05041
273,48155
274,39001
275,23009
276,22069
277,21153
278,47043
279,19133
280,19037
281,40111
282,22011
283,34025
284,37167
285,21159
286,40097
287,19193
288,12061
289,37077
290,13257
291,40135
292,28017
293,29055
294,40077
295,37153
296,19107
297,36069
298,02290
299,13305
300,46075
301,21049
302,36113
303,21157
304,31035
305,54083
306,13171
307,27129
308,17001
309,27117
310,22117
311,36099
312,28043
313,05135
314,36029
315,22003
316,19013
317,13035
318,05093
319,54091
320,46121
321,39081
322,21115
323,39079
324,28143
325,21229
326,19033
327,27109
328,12101
329,05001
330,36117
331,27089
332,51017
333,29035
334,36013
335,17083
336,13281
337,36103
338,19073
339,38049
340,36123
341,19063
342,27059
343,34007
344,37177
345,22027
346,19023
347,17077
348,05129
349,12127
350,21239
351,19011
352,19097
353,48151
354,40089
355,54001
356,13009
357,17011
358,13057
359,17053
360,54019
361,12019
362,27007
363,28081
364,21111
365,37163
366,19019
367,51025
368,19059
369,13079
370,47115
371,30051
372,21037
373,40105
374,13297
375,19145
376,02240
377,19159
378,48431
379,19015
380,27011
381,31125
382,28129
383,19151
384,37045
385,30077
386,32009
387,21109
388,36015
389,21041
390,22083
391,12129
392,29207
393,42023
394,22039
395,37145
396,48213
397,42037
398,47159
399,12109
400,21129
401,27015
402,19057
403,36055
404,39119
405,28163
406,19149
407,47005
408,55077
409,47143
410,37087
411,26051
412,22049
413,24045
414,27095
415,22125
416,13217
417,13029
418,22111
419,19111
420,36037
421,34005
422,21151
423,36085
424,22031
425,47075
426,17175
427,19125
428,36001
429,21079
430,30103
431,36039
432,29069
433,27143
434,46053
435,27035
436,12033
437,46025
438,30095
439,47111
440,17075
441,19163
442,36011
443,48073
444,13255
445,29201
446,29097
447,29087
448,54101
449,47067
450,13037
451,29227
452,37161
453,34037
454,47013
455,12009
456,37107
457,47083
458,39047
459,51131
460,21181
461,19113
462,19131
463,21089
464,39059
465,51075
466,54011
467,40043
468,28111
469,12075
470,42079
471,39105
472,21163
473,47081
474,42095
475,48105
476,21113
477,12041
478,31003
