Ranking,best_val_RMSE,MinValRMSE_ThisValRMSE_Gulf,TRIAL,EPOCH,validation_RMSE,training_RMSE,training_MSE,MSE: val - train,RMSE: val - train,R2,hidden_channels,lr,dropout,weight_decay,num_layers,aggr
1,51.6953,0.0000,78,469,51.6953,64.8859,4210.1855,-1537.7866,-13.1907,0.2152,64,0.00326932,0.04194610,0.00001288,5,mean
2,51.6953,0.2297,114,481,51.9250,66.0086,4357.1357,-1660.9341,-14.0836,0.2082,64,0.00706663,0.05970542,0.00028378,4,mean
3,51.6953,0.2958,73,483,51.9911,67.5087,4557.4224,-1854.3491,-15.5176,0.2062,64,0.00728064,0.04411623,0.00042963,5,mean
4,51.6953,0.4060,104,485,52.1013,54.1444,2931.6125,-217.0696,-2.0431,0.2028,64,0.00789617,0.00596839,0.00032682,4,mean
5,51.6953,0.4289,106,422,52.1242,59.3247,3519.4163,-802.4885,-7.2005,0.2021,64,0.00854267,0.01975534,0.00029906,4,mean
6,51.6953,0.4291,103,482,52.1243,63.9440,4088.8301,-1371.8860,-11.8196,0.2021,64,0.00830669,0.02465484,0.00025518,4,mean
7,51.6953,0.4561,82,384,52.1513,59.6410,3557.0527,-837.2900,-7.4897,0.2013,64,0.00534817,0.01134785,0.00019332,5,mean
8,51.6953,0.4772,125,478,52.1725,56.1458,3152.3562,-430.3909,-3.9734,0.2006,64,0.00555852,0.00859016,0.00044743,4,mean
9,51.6953,0.5821,101,492,52.2774,67.9011,4610.5581,-1877.6355,-15.6237,0.1974,64,0.00791222,0.03859438,0.00020680,4,mean
10,51.6953,0.5900,122,459,52.2852,61.7221,3809.6167,-1075.8733,-9.4369,0.1972,64,0.01023549,0.01837363,0.00013106,4,mean
11,51.6953,0.6099,126,489,52.3052,69.7977,4871.7158,-2135.8867,-17.4925,0.1966,32,0.00522599,0.03663845,0.00042234,4,mean
12,51.6953,0.6110,52,489,52.3062,61.4114,3771.3582,-1035.4187,-9.1052,0.1965,64,0.00629660,0.02007785,0.00009885,5,sum
13,51.6953,0.6340,30,491,52.3292,73.0382,5334.5835,-2596.2334,-20.7090,0.1958,32,0.01200125,0.04922711,0.00000030,5,mean
14,51.6953,0.6942,46,420,52.3895,70.0166,4902.3257,-2157.6709,-17.6272,0.1940,64,0.00456870,0.05643977,0.00011684,5,sum
