TRIAL,EPOCH,validation_RMSE,training_RMSE,training_MSE,MSE: val - train,RMSE: val - train,R2,hidden_channels,lr,dropout,weight_decay,num_layers,aggr,activation,batch_norm,residual,lr_scheduler
0,493,67.01317596,135.4993439,18360.07227,-13869.30615,-68.48616791,-0.3187909126,96,0.03141357869,0.1749014973,1.885203703e-08,2,max,leaky_relu,True,False,cosine
1,212,64.72454834,126.143898,15912.2832,-11723.01562,-61.41934967,-0.2302508354,64,0.007124815004,0.2953816406,0.6030964714,5,max,elu,False,True,cosine
2,495,367.83078,365.2284546,133391.8281,1907.65625,2.602325439,-38.73303223,128,4.080341047e-05,0.06583975098,0.002893903715,5,max,leaky_relu,True,False,cosine
3,500,457.7685242,457.5284119,209332.25,219.78125,0.2401123047,-60.53857422,64,0.07786998461,0.3862287214,0.001807290465,6,sum,relu,True,False,cosine
4,500,406.4506836,402.4871521,161995.9062,3206.25,3.963531494,-47.51446152,64,2.067794918e-05,0.3612845183,0.005403969841,6,mean,leaky_relu,True,True,step
5,215,73.33558655,146.0593567,21333.33789,-15955.22949,-72.72377014,-0.5793744326,96,0.008893234411,0.2046849015,0.0001001356125,6,sum,elu,False,True,cosine
6,286,262.0970459,352.9243164,124555.5703,-55860.70312,-90.82727051,-19.1734333,64,0.07940083376,0.3513502202,0.03122016122,4,max,elu,False,False,cosine
7,500,300.0768433,301.7141113,91031.39844,-985.28125,-1.637268066,-25.4435997,128,0.0005140803942,0.2511455235,0.0001144918124,2,sum,elu,False,True,step
8,500,397.6668396,399.3269653,159462.0312,-1323.125,-1.660125732,-45.44021225,128,1.078857873e-05,0.3214435504,0.0006315950573,4,sum,leaky_relu,False,True,cosine
9,495,120.6206741,146.4214172,21439.23242,-6889.884766,-25.8007431,-3.272666931,64,0.0006200746053,0.2877250591,3.084986189e-06,3,mean,elu,False,True,none
10,467,53.54836655,81.66291809,6668.832031,-3801.404297,-28.11455154,0.1579303145,64,0.003454380913,0.1081008574,0.4546382647,5,max,relu,False,True,none
11,492,52.67857742,75.16039276,5649.084961,-2874.05249,-22.48181534,0.1850637794,64,0.002860077225,0.07578677737,0.7036838316,5,max,relu,False,True,none
12,431,53.36689758,72.74163818,5291.346191,-2443.320312,-19.3747406,0.1636280417,64,0.002882484154,0.04122744923,0.663453041,5,max,relu,False,True,none
13,469,53.4943924,58.59752655,3433.670166,-572.0202637,-5.103134155,0.1596271992,64,0.001681144282,0.003628800401,0.8732548874,5,max,relu,False,True,none
14,499,364.3282166,362.9795532,131754.1562,980.890625,1.34866333,-37.97993851,64,0.0001577241507,0.01906474536,0.09841263804,4,max,relu,False,True,none
15,498,360.308136,359.6782227,129368.4219,453.5234375,0.6299133301,-37.1244545,96,0.0001995719563,0.1170843572,2.535313676e-06,3,max,relu,False,True,none
16,322,60.11471558,88.90537262,7904.165527,-4290.386719,-28.79065704,-0.06124854088,64,0.01430839229,0.07142569455,0.02915797801,5,mean,relu,False,True,none
17,493,54.69028091,82.64094543,6829.525879,-3838.499023,-27.95066452,0.1216333508,64,0.00211575566,0.1514477411,4.359711991e-06,3,max,relu,False,True,none
18,293,53.48353195,75.20932007,5656.441406,-2795.953125,-21.72578812,0.1599681973,128,0.004497669194,0.05213159027,0.05010732184,6,max,relu,True,False,none
19,500,353.4328003,351.6963501,123690.3203,1224.429688,1.736450195,-35.6833725,96,0.0002054325292,0.1103759269,3.388047349e-08,5,mean,relu,False,True,step
