name,river_id,scalerank_norm,length_km_norm,basin_km2_norm,discharge_norm
Arkansas,200000.0,0.5,0.438396405,0.128131021,0.119411025
Colorado,200001.0,0.333333333,0.401744847,0.170520231,0.04578919
Columbia,200002.0,0.666666667,0.333883276,0.180475273,0.443825941
Mississippi,200003.0,0.333333333,1,1,1
Missouri,200004.0,1,0.950196536,0.406229929,0.163703837
Ohio,200005.0,0.666666667,0.240972211,0.13551702,0.470760759
Red,200006.0,0,0.197849376,0.040783558,0.01185132
Rio Grande,200007.0,0.5,0.622233795,0.16088632,0
Snake,200008.0,0.5,0.212104107,0.055876686,0.066738493
Tennessee,200009.0,0.333333333,0,0,0.136170468
