Rank,epoch,train_MSE,train_RMSE,train_R2,validation_MSE,validation_RMSE,validation_R2,best_so_far
1,538,2029.789307,45.05318309,0.398436844,2646.639648,51.44550173,0.222768605,TRUE
2,453,2067.484131,45.46959568,0.387265325,2646.891602,51.44795041,0.222694635,TRUE
3,626,2004.549438,44.77219493,0.405917108,2659.509766,51.570435,0.218989074,FALSE
4,558,2021.866943,44.96517478,0.400784791,2660.979004,51.584678,0.218557596,FALSE
5,529,2036.13501,45.12355272,0.396556199,2661.070801,51.58556776,0.218530655,FALSE
6,475,2058.346924,45.36900841,0.389973342,2661.491943,51.58964958,0.218406975,FALSE
7,602,2022.441772,44.97156627,0.40061444,2663.515381,51.60925674,0.217812777,FALSE
8,591,2018.068481,44.92291711,0.401910543,2664.267578,51.61654365,0.217591882,FALSE
9,452,2070.076904,45.49809781,0.386496961,2664.34082,51.61725313,0.217570364,TRUE
10,627,2004.408447,44.77062036,0.405958891,2665.203613,51.62561005,0.217317045,FALSE
11,559,2023.50293,44.98336281,0.400299907,2666.732422,51.64041462,0.216867983,FALSE
12,412,2105.660645,45.88747808,0.375951052,2666.76416,51.64072192,0.216858745,TRUE
13,576,2017.602417,44.91772943,0.402048647,2667.56665,51.64849127,0.216623068,FALSE
14,546,2024.340698,44.99267383,0.400051653,2667.956543,51.65226561,0.216508567,FALSE
15,409,2102.565674,45.8537422,0.376868308,2668.193359,51.65455797,0.216439009,TRUE
16,504,2040.200073,45.16857396,0.39535141,2669.311523,51.66538032,0.216110647,FALSE
17,489,2044.321655,45.21417538,0.394129932,2669.392578,51.66616473,0.216086864,FALSE
18,422,2086.131348,45.67418689,0.381738901,2669.8396,51.67049061,0.215955555,FALSE
19,556,2041.452271,45.18243321,0.394980371,2670.269531,51.67465076,0.215829253,FALSE
20,481,2074.716309,45.54905387,0.385121942,2670.353271,51.67546102,0.215804696,FALSE
21,513,2038.370483,45.14831651,0.395893633,2671.029541,51.68200403,0.215606153,FALSE
22,638,1994.397217,44.6586746,0.408925891,2671.736816,51.68884615,0.215398431,FALSE
23,465,2063.799072,45.42905538,0.38835746,2672.062256,51.69199412,0.215302825,FALSE
24,491,2046.081055,45.23362748,0.39360851,2672.235596,51.69367075,0.215251982,FALSE
25,490,2060.693359,45.3948605,0.389277875,2673.357422,51.70452032,0.214922428,FALSE
26,542,2037.269653,45.1361236,0.396219909,2674.632324,51.71684759,0.214548111,FALSE
27,437,2075.184814,45.55419645,0.384983122,2674.636475,51.71688771,0.214546859,FALSE
28,423,2084.435303,45.65561633,0.382241547,2675.585205,51.72605925,0.214268208,FALSE
29,476,2061.363525,45.40224141,0.389079273,2675.930664,51.72939845,0.21416682,FALSE
30,578,2018.808838,44.93115665,0.401691079,2676.029785,51.73035651,0.214137673,FALSE
31,579,2043.974854,45.21034012,0.39423275,2676.125732,51.73128389,0.21410948,FALSE
32,512,2045.690674,45.22931211,0.393724203,2676.298584,51.73295453,0.214058757,FALSE
33,474,2057.288818,45.3573458,0.390286863,2676.666748,51.73651272,0.213950634,FALSE
34,487,2049.029541,45.2662075,0.392734706,2677.327393,51.74289703,0.213756621,FALSE
35,675,1989.872925,44.60799171,0.410266757,2677.770996,51.74718346,0.213626385,FALSE
36,537,2031.955688,45.07721917,0.397794843,2678.402344,51.75328341,0.213440955,FALSE
37,522,2048.537109,45.26076788,0.392880619,2678.469971,51.75393677,0.213421106,FALSE
38,545,2037.478271,45.13843453,0.396158099,2678.542969,51.754642,0.213399708,FALSE
39,438,2075.245361,45.55486101,0.384965181,2678.94043,51.75848172,0.213282943,FALSE
40,637,2002.114136,44.74499006,0.406638861,2679.674805,51.76557548,0.213067293,FALSE
41,676,1992.860107,44.64146175,0.409381449,2679.824707,51.76702335,0.213023245,FALSE
42,547,2030.890381,45.06540115,0.398110509,2680.365967,51.77225093,0.21286428,FALSE
43,521,2038.681519,45.15176097,0.395801485,2681.096924,51.7793098,0.212649643,FALSE
44,555,2039.292236,45.15852341,0.395620465,2681.317627,51.78144095,0.212584853,FALSE
45,450,2079.678223,45.60348915,0.383651376,2681.977295,51.78781029,0.212391138,FALSE
46,651,1997.086182,44.6887702,0.408128977,2682.077148,51.78877435,0.212361753,FALSE
47,736,1971.014893,44.39611349,0.415855646,2684.003418,51.80736838,0.211796105,FALSE
48,492,2073.581543,45.53659565,0.385458291,2684.179199,51.80906484,0.211744487,FALSE
49,668,2002.268799,44.7467183,0.406593025,2684.210205,51.80936407,0.211735368,FALSE
50,672,1987.99707,44.58696077,0.41082269,2684.261963,51.80986357,0.211720169,FALSE
51,539,2068.096924,45.47633367,0.387083769,2684.351074,51.81072354,0.211694002,FALSE
52,603,2019.150146,44.93495462,0.40158993,2684.391113,51.81110994,0.21168226,FALSE
53,505,2088.053711,45.69522635,0.3811692,2684.832275,51.81536717,0.21155268,FALSE
54,679,1996.162598,44.67843549,0.408402741,2685.338623,51.82025302,0.211404026,FALSE
55,477,2057.43335,45.35893903,0.390244007,2685.552734,51.82231888,0.211341143,FALSE
56,575,2038.435547,45.14903705,0.395874381,2685.600098,51.82277586,0.211327195,FALSE
57,548,2055.249268,45.33485709,0.390891373,2685.788574,51.8245943,0.211271822,FALSE
58,689,2012.90271,44.86538432,0.403441489,2685.817383,51.82487224,0.211263418,FALSE
59,485,2057.479004,45.35944228,0.390230536,2686.655273,51.83295548,0.211017311,FALSE
60,715,1975.997925,44.4521982,0.414378881,2686.880371,51.83512681,0.210951269,FALSE
61,488,2063.81958,45.42928109,0.388351381,2687.144531,51.83767482,0.210873723,FALSE
62,391,2115.752441,45.99730907,0.37296015,2687.484619,51.84095504,0.210773766,TRUE
63,592,2069.769775,45.4947225,0.386587918,2687.687744,51.84291412,0.210714161,FALSE
64,478,2093.736816,45.75736898,0.379484892,2688.703613,51.85271076,0.210415781,FALSE
65,466,2067.765381,45.4726883,0.387181997,2689.112305,51.8566515,0.210295796,FALSE
66,464,2088.117188,45.69592091,0.381150424,2689.316895,51.85862411,0.210235655,FALSE
67,608,2023.782471,44.98646986,0.400217116,2689.328613,51.8587371,0.210232258,FALSE
68,601,2010.441162,44.83794333,0.40417099,2689.434082,51.85975397,0.210201263,FALSE
69,394,2110.414795,45.93925114,0.374542058,2689.901855,51.86426376,0.210063934,FALSE
70,659,2003.307129,44.7583191,0.406285286,2690.157227,51.86672562,0.209988952,FALSE
71,572,2040.049072,45.1669024,0.395396173,2691.076904,51.87559064,0.209718883,FALSE
72,560,2020.529419,44.95029943,0.401181161,2691.397705,51.87868257,0.209624648,FALSE
73,588,2070.00293,45.49728486,0.386518836,2691.846924,51.8830119,0.209492743,FALSE
74,661,1999.218872,44.71262542,0.407496929,2692.347656,51.88783727,0.209345639,FALSE
75,557,2024.929199,44.99921332,0.39987725,2692.701416,51.89124604,0.209241807,FALSE
76,472,2079.22998,45.59857432,0.383784235,2692.754639,51.89175887,0.209226131,FALSE
77,664,2001.457764,44.73765487,0.40683341,2693.137451,51.89544731,0.209113777,FALSE
78,543,2064.711914,45.43910116,0.388086975,2693.312744,51.89713618,0.209062278,FALSE
79,455,2076.690918,45.57072435,0.384536743,2693.439453,51.89835694,0.209025085,FALSE
80,544,2029.624146,45.0513501,0.39848578,2693.580566,51.89971644,0.2089836,FALSE
81,640,1998.236084,44.70163402,0.407788157,2693.704834,51.90091361,0.208947122,FALSE
82,486,2083.180908,45.64187669,0.382613301,2693.915771,51.90294569,0.208885193,FALSE
83,408,2135.067139,46.20678672,0.367235899,2694.14502,51.90515407,0.20881784,FALSE
84,411,2104.037109,45.86978427,0.37643224,2694.324463,51.90688262,0.208765149,FALSE
85,395,2116.975342,46.01060032,0.372597814,2694.328125,51.90691789,0.208764076,FALSE
86,562,2037.900391,45.14311011,0.396032989,2694.429688,51.9078962,0.208734274,FALSE
87,479,2073.819092,45.5392039,0.385387838,2694.830566,51.9117575,0.208616495,FALSE
88,641,2037.751709,45.1414633,0.396077037,2695.156982,51.91490135,0.208520651,FALSE
89,723,1979.80957,44.49505108,0.413249195,2695.506836,51.91827073,0.208417952,FALSE
90,669,2025.541626,45.00601766,0.399695754,2696.205566,51.92499944,0.208212733,FALSE
91,439,2095.188232,45.77322615,0.379054785,2696.573486,51.92854212,0.20810473,FALSE
92,662,1993.164307,44.64486876,0.409291327,2697.078125,51.93340086,0.207956493,FALSE
93,604,2012.141235,44.8568973,0.403667152,2697.238037,51.93494043,0.207909524,FALSE
94,482,2101.463623,45.8417236,0.377194881,2698.855713,51.95051215,0.207434416,FALSE
95,673,1996.220947,44.67908848,0.408385396,2698.913818,51.95107139,0.207417428,FALSE
96,635,2000.150146,44.72303821,0.4072209,2699.125732,51.9531109,0.207355142,FALSE
97,749,1971.637817,44.40312846,0.415671051,2699.773926,51.95934878,0.207164824,FALSE
98,514,2086.483887,45.678046,0.381634474,2699.915771,51.96071373,0.20712316,FALSE
99,528,2046.892944,45.24260099,0.393367887,2700.136963,51.96284214,0.207058191,FALSE
100,612,2015.662964,44.89613529,0.402623415,2700.643311,51.96771412,0.206909478,FALSE
101,484,2086.170654,45.67461718,0.381727278,2700.662109,51.96789499,0.206903994,FALSE
102,671,2000.613525,44.72821845,0.407083631,2700.888672,51.97007477,0.206837475,FALSE
103,549,2055.084229,45.33303683,0.390940249,2701.111084,51.97221454,0.206772149,FALSE
104,599,2036.391235,45.12639178,0.396480262,2701.317627,51.97420155,0.206711471,FALSE
105,748,1970.331543,44.38841677,0.416058183,2701.328613,51.97430724,0.206708312,FALSE
106,636,2006.684692,44.79603434,0.405284286,2701.331543,51.97433543,0.206707418,FALSE
107,440,2095.036621,45.77157001,0.379099667,2701.451904,51.9754933,0.206672072,FALSE
108,665,2038.272583,45.14723229,0.395922661,2701.942383,51.98021145,0.206528008,FALSE
109,678,2014.212036,44.87997366,0.403053463,2702.114258,51.9818647,0.206477523,FALSE
110,396,2109.719238,45.93168012,0.37474823,2702.505127,51.98562423,0.206362784,FALSE
111,573,2056.381836,45.34734651,0.39055568,2702.51416,51.98571112,0.206360102,FALSE
112,766,1962.656982,44.30188464,0.418332696,2702.529541,51.98585905,0.206355631,FALSE
113,369,2152.050537,46.39019872,0.362202585,2702.890381,51.98932949,0.206249654,TRUE
114,397,2107.082031,45.90296321,0.375529826,2703.287109,51.99314483,0.206133127,FALSE
115,540,2051.30835,45.29137169,0.392059326,2703.601807,51.99617108,0.20604074,FALSE
116,708,1980.297607,44.50053491,0.413104594,2703.61499,51.99629785,0.206036806,FALSE
117,392,2114.034424,45.97863008,0.373469353,2704.273926,52.00263384,0.205843329,FALSE
118,634,2036.846802,45.13143917,0.396345198,2704.405273,52.00389671,0.205804765,FALSE
119,674,1994.291382,44.65748965,0.408957243,2704.846924,52.00814286,0.205675066,FALSE
120,355,2146.65918,46.33205348,0.363800466,2704.935059,52.00899017,0.205649137,TRUE
121,442,2106.658691,45.89835173,0.375655293,2705.143799,52.0109969,0.205587864,FALSE
122,383,2125.933105,46.10784213,0.369943023,2705.230469,52.01183008,0.205562413,FALSE
123,750,1963.529419,44.31173004,0.418074131,2705.417236,52.01362549,0.205507576,FALSE
124,606,2019.460327,44.93840593,0.40149802,2705.578613,52.01517676,0.205460131,FALSE
125,424,2117.32373,46.01438613,0.372494459,2705.794678,52.01725365,0.205396712,FALSE
126,589,2038.227661,45.14673478,0.395936012,2706.217041,52.02131333,0.205272675,FALSE
127,561,2051.844238,45.29728732,0.39190048,2706.664795,52.02561672,0.205141246,FALSE
