row_index,site_id,fips
0,0100041,09150
1,0100108,09130
2,0100121,09150
3,0100124,09110
4,0100125,09150
5,0100156,09110
6,0100180,09140
7,0100201,09150
8,0100250,09140
9,0100251,09110
10,0100252,09190
11,0100255,09160
12,0100261,09180
13,0100265,09140
14,0100326,25017
15,0100350,25017
16,0100376,25005
17,0100380,25009
18,0100392,25021
19,0100432,25005
20,0100438,25017
21,0100442,25009
22,0100460,25003
23,0100464,25017
24,0100524,25017
25,0100550,25017
26,0100580,25017
27,0100655,25005
28,0100682,25005
29,0100685,25017
30,0100686,25017
31,0100717,25009
32,0100721,25003
33,0100726,25023
34,0100744,25005
35,0100747,25013
36,0100749,25017
37,0100750,25009
38,0100751,25027
39,0100948,25017
40,0100953,25017
41,0100960,25001
42,0100966,25027
43,0100967,25017
44,0100989,23013
45,0101010,23031
46,0101012,23011
47,0101014,23031
48,0101027,23005
49,0101028,23009
50,0101031,23011
51,0101036,23003
52,0101043,23019
53,0101054,23029
54,0101072,23031
55,0101073,23005
56,0101074,23003
57,0101085,33011
58,0101092,33011
59,0101105,33003
60,0101106,33015
61,0101107,33015
62,0101114,33015
63,0101123,33015
64,0101125,33017
65,0101127,33005
66,0101128,33017
67,0101137,33015
68,0101145,33011
69,0101146,33011
70,0101162,33015
71,0101208,33017
72,0101210,33015
73,0101213,33015
74,0101233,44007
75,0101247,44007
76,0101265,44007
77,0101277,44007
78,0101279,44009
79,0101283,44007
80,0101291,44007
81,0101292,44007
82,0101322,44009
83,0101388,44007
84,0101430,44009
85,0101431,44005
86,0101435,50003
87,0101437,50027
88,0101450,50003
89,0101463,50003
90,0101470,50007
91,0101475,50025
92,0101477,50005
93,0101491,50005
94,0101493,50003
95,0101713,25021
96,0101800,23019
97,0101826,25021
98,0101831,25017
99,0102032,25017
100,0102065,50017
101,0102071,50017
102,0102282,50003
103,0102723,33015
104,0102724,25005
105,0102953,09140
106,0103313,33007
107,0103584,23001
108,0106078,23005
109,0106144,25021
110,0200022,34005
111,0200034,34003
